Source Type,Distribution,Amount
inflow,1Normal,-1681.4105258249142
inflow,1Normal,-811.0915497741413
inflow,1Normal,-486.49024028029476
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,2Poisson,-170
inflow,1Normal,-69.42792667408533
outflow,1Cauchy,-11.82176089299876
outflow,1Cauchy,-11.39514133669601
outflow,1Cauchy,-10.53054176989321
outflow,1Cauchy,-10.211889864779145
outflow,1Cauchy,-9.768595198284146
outflow,1Cauchy,-7.69735384652679
outflow,1Cauchy,-5.909476689643014
outflow,1Cauchy,-8739.795010059797
inflow,1Normal,-816.631446010091
outflow,2Poisson,-170
outflow,2Poisson,-170
outflow,1Cauchy,-18.191257506213365
outflow,1Cauchy,-10.154861748623201
outflow,1Cauchy,-9.933884163748468
outflow,1Cauchy,-9.419839861844757
outflow,1Cauchy,-9.046217091477537
outflow,1Cauchy,-8.648935754613628
inflow,1Normal,-2772.8563265610846
inflow,1Normal,-847.2996609831717
inflow,1Normal,-715.5835324315849
outflow,2Poisson,-170
outflow,1Cauchy,-14.691924157083028
outflow,1Cauchy,-12.431073144599036
outflow,1Cauchy,-9.848925633623868
outflow,1Cauchy,-9.538704718790699
outflow,1Cauchy,-7.961437268384222
outflow,1Cauchy,-6.753404516636845
inflow,1Normal,-832.8295133498578
inflow,1Normal,-769.6983577527565
inflow,1Normal,-663.3982164709166
inflow,1Normal,-403.9953213705008
outflow,1Cauchy,-33.06958422022416
outflow,1Cauchy,-15.508501636533257
outflow,1Cauchy,-13.055208786112676
outflow,1Cauchy,-10.542767944885874
outflow,1Cauchy,-10.295593536895492
outflow,1Cauchy,-9.911128344842165
outflow,1Cauchy,-9.90365688778214
inflow,1Normal,-2348.589737707544
inflow,1Normal,-1278.6504088592064
inflow,1Normal,-733.7544091083838
inflow,1Normal,-381.6885446883131
inflow,1Normal,-380.99365597433206
outflow,1Cauchy,-30.75616617746581
outflow,1Cauchy,-16.62495554632666
outflow,1Cauchy,-14.595320110340188
outflow,1Cauchy,-13.806050522178962
outflow,1Cauchy,-10.281465939798874
outflow,1Cauchy,-9.571208892110738
outflow,1Cauchy,-8.849372789270323
inflow,1Normal,-2258.6937802808775
inflow,1Normal,-1236.6449424418267
inflow,1Normal,-629.8419171314872
inflow,1Normal,-197.60322413940406
outflow,2Poisson,-170
outflow,2Poisson,-170
inflow,1Normal,-166.78817251228077
outflow,1Cauchy,-28.13613214917999
outflow,1Cauchy,-19.719620550179535
outflow,1Cauchy,-12.101832265804834
outflow,1Cauchy,-11.73484397529102
outflow,1Cauchy,-11.17042199288787
outflow,1Cauchy,-11.103937300311348
outflow,1Cauchy,-8.012063452684124
inflow,1Normal,-2910.103842510618
inflow,1Normal,-2050.0400610186384
inflow,1Normal,-1473.3349897451326
inflow,1Normal,-519.0067750112206
inflow,1Normal,-313.0828878343898
outflow,1Cauchy,-18.352807277270493
outflow,1Cauchy,-15.271666435678833
outflow,1Cauchy,-10.217936248251089
outflow,1Cauchy,-9.981420549952569
outflow,1Cauchy,-8.351369703710997
outflow,1Cauchy,-6.081024005087269
outflow,1Cauchy,-5784.945921481289
inflow,1Normal,-1258.0725891106
inflow,1Normal,-845.3478445686645
inflow,1Normal,-251.5336632021967
outflow,2Poisson,-170
outflow,1Cauchy,-15.934396438175504
outflow,1Cauchy,-12.628802724989534
outflow,1Cauchy,-11.258111560079938
outflow,1Cauchy,-10.398963034910157
outflow,1Cauchy,-9.143937034267156
outflow,1Cauchy,-2.532602737410798
inflow,1Normal,-1353.708548616528
inflow,1Normal,-639.7710764714042
inflow,1Normal,-497.3103917538168
outflow,2Poisson,-340
inflow,1Normal,-207.96133324672434
inflow,1Normal,-188.16901461570944
outflow,1Cauchy,-125.43689578117494
outflow,1Cauchy,-12.74837793988951
outflow,1Cauchy,-11.27436712840435
outflow,1Cauchy,-11.040289444407433
outflow,1Cauchy,-9.153795712510128
outflow,1Cauchy,-8.670967938638123
outflow,1Cauchy,-7.282700409541992
outflow,1Cauchy,-19038.367465768653
inflow,1Normal,-658.7715115387738
outflow,2Poisson,-170
outflow,2Poisson,-170
inflow,1Normal,-59.65953642164248
outflow,1Cauchy,-39.96134014730025
outflow,1Cauchy,-13.388373096264669
outflow,1Cauchy,-12.492793587775857
outflow,1Cauchy,-7.866772654927701
outflow,1Cauchy,-7.069827777541911
outflow,1Cauchy,-5.7547615343093454
inflow,1Normal,-2374.5618657589716
inflow,1Normal,-1107.4907904928632
inflow,1Normal,-941.6928389663436
inflow,1Normal,-141.369633711588
outflow,1Cauchy,-18.853055886731727
outflow,1Cauchy,-15.142088402253972
outflow,1Cauchy,-11.348142373813914
outflow,1Cauchy,-10.363981266806155
outflow,1Cauchy,-9.958794174308263
outflow,1Cauchy,-9.546349982769124
outflow,1Cauchy,-8.2586896502416
inflow,1Normal,-1707.8502380925158
inflow,1Normal,-1661.3875889304288
